,Days_Shifted,Correlation_Coefficient
272,-328,-0.004128549310860942
271,-329,-0.0034506396512593612
270,-330,-0.002666293173899901
269,-331,-0.001903394121941644
268,-332,-0.0010826122568314649
267,-333,-0.0003159435021910149
266,-334,0.0005601303806677655
265,-335,0.0015260371071779935
264,-336,0.0025580704124692133
263,-337,0.0035803536621039963
262,-338,0.004595313485785652
261,-339,0.0056196391120751895
260,-340,0.006627500096201535
259,-341,0.00759975083739111
258,-342,0.008552017471297746
257,-343,0.009417545873596183
256,-344,0.01031819940288344
255,-345,0.01126536093042871
254,-346,0.012043007874944054
253,-347,0.01283027702210548
252,-348,0.013531557361887894
251,-349,0.014255803052052493
250,-350,0.01502041644813548
249,-351,0.01583075054597462
248,-352,0.016663022039342123
247,-353,0.017468550479531456
