,Days_Shifted,Correlation_Coefficient
864,264,0.03256015155272396
849,249,0.03258819072606386
902,302,0.03287075528255441
992,392,0.033055146555314
753,153,0.033520778421501654
950,350,0.03362293952807765
282,-318,0.03378078307654238
894,294,0.03399958739758962
896,296,0.03445342560449966
1022,422,0.03461749623720283
162,-438,0.034705452556159824
887,287,0.03493139532063857
655,55,0.034967417270012506
506,-94,0.03536875266963437
490,-110,0.03547434290701546
871,271,0.03549971794426687
870,270,0.035662585544302766
747,147,0.03609982685622846
827,227,0.036581656767098486
638,38,0.03687110093973244
196,-404,0.03718772781683132
580,-20,0.037426897953008485
610,10,0.037891624176257674
749,149,0.03815590973844222
865,265,0.03823292460185254
280,-320,0.03878463932592652
848,248,0.0391532632083578
538,-62,0.039602524509481436
741,141,0.04039955755520421
917,317,0.04067008340095042
958,358,0.041621288861734836
842,242,0.04204263008476259
635,35,0.04212492888258111
670,70,0.042248402202754956
246,-354,0.04252807609341994
255,-345,0.04272217062323606
507,-93,0.04275390612142285
639,39,0.04404834253334438
572,-28,0.04408562730378322
696,96,0.04420815873126168
285,-315,0.04426899115420909
989,389,0.044911037107783436
926,326,0.04502796047731139
608,8,0.04646796594263841
691,91,0.04651161561397122
534,-66,0.04653651853274726
746,146,0.046568213652888005
533,-67,0.04661896375946847
899,299,0.04714683397809233
977,377,0.04819499871432696
988,388,0.0485742295979287
978,378,0.04920381308741442
516,-84,0.049254071836736864
861,261,0.04947599513345973
279,-321,0.049538612631163624
578,-22,0.04969071817955098
657,57,0.04985425545392378
755,155,0.04985926414097708
869,269,0.05055471056542594
959,359,0.05065002457350401
482,-118,0.05071349155036882
577,-23,0.050796437799543445
508,-92,0.05231181056135776
1023,423,0.052500605278658165
669,69,0.052870995593675446
573,-27,0.05318877535797246
579,-21,0.05342682135938742
422,-178,0.05371970377327831
742,142,0.05419097940092208
656,56,0.0544341657858313
515,-85,0.05568389030798658
954,354,0.056559540502885114
537,-63,0.056627909430642186
636,36,0.05700874325090142
489,-111,0.05729679630549774
898,298,0.057401181798989356
754,154,0.05813850673333689
609,9,0.058744459771858604
536,-64,0.05881028141853108
576,-24,0.05982260359224968
509,-91,0.06084381807256834
860,260,0.0609265776633036
897,297,0.06101690827981949
488,-112,0.06107140442973622
745,145,0.061194376281189636
535,-65,0.06267287139236759
990,390,0.06284932574919998
574,-26,0.06287197196177575
695,95,0.06388882389702975
658,58,0.06392316511174616
362,-238,0.06423978379244379
286,-314,0.06427779169432721
847,247,0.0643490521304578
230,-370,0.06497732940248531
949,349,0.065214034138379
575,-25,0.06526616169240226
758,158,0.06526752215674123
692,92,0.06533538199483326
952,352,0.06568541651600356
690,90,0.06625222836649176
510,-90,0.06843561665342354
165,-435,0.0687653041542595
756,156,0.06918881135291587
991,391,0.07147224059644267
596,-4,0.07192663855947086
895,295,0.07193936396923571
437,-163,0.07249397270481171
689,89,0.07264808070286805
862,262,0.0738985858579341
483,-117,0.07523477544618656
668,68,0.07570477703456362
317,-283,0.07590353880356993
278,-322,0.07635221593122513
957,357,0.07636600727365914
694,94,0.07658184424500136
757,157,0.07795199627203617
423,-177,0.07839035746119329
277,-323,0.07976692896473982
693,93,0.07981227477658803
743,143,0.08052487721242356
361,-239,0.0811526508424436
487,-113,0.08131752032168504
665,65,0.08160930948754568
986,386,0.08175901386009031
863,263,0.08301773134360062
179,-421,0.08337206254999324
890,290,0.08389466028186317
513,-87,0.0857253027667715
514,-86,0.08619695887051315
918,318,0.08742987979108059
953,353,0.08889985882296403
744,144,0.08962801708206217
1041,441,0.08980207123773197
866,266,0.08989426193312419
485,-115,0.09089482799050658
607,7,0.09181541352515908
659,59,0.09250027277723942
436,-164,0.0925489315057555
484,-116,0.0930955189200038
925,325,0.09473795201799941
486,-114,0.09581390917927497
666,66,0.09617777608153114
511,-89,0.09627843450925921
888,288,0.09654905656988973
667,67,0.09656555430063245
380,-220,0.09812110871018268
287,-313,0.09918330190548046
660,60,0.09947756139592737
180,-420,0.09952615579334756
597,-3,0.10000815375840766
307,-293,0.10047786720164834
276,-324,0.10113064020160495
663,63,0.10293603542246249
363,-237,0.10324651940175264
662,62,0.10445839474184407
664,64,0.10453912605637723
435,-165,0.10547781981124596
364,-236,0.10599336392642736
924,324,0.10623541851051826
919,319,0.10724681269167498
661,61,0.10929022287911086
923,323,0.1100189016520275
889,289,0.11103438007664354
892,292,0.11130268416835182
606,6,0.11337413011571353
956,356,0.11598175844415783
181,-419,0.1167885788784074
512,-88,0.11832744069883928
868,268,0.11997675043929641
247,-353,0.1217486354383526
215,-385,0.12232187373809444
424,-176,0.125069954120616
955,355,0.12672152099209386
1036,436,0.126989771451468
434,-166,0.1313324375109907
163,-437,0.13305535779007904
891,291,0.13682782865226076
222,-378,0.13791462038332591
1014,414,0.1390839555814524
249,-351,0.14045599725139513
603,3,0.14255649920092747
921,321,0.14503239323772457
365,-235,0.14802497153413388
605,5,0.15163865248590885
229,-371,0.1544537854327648
223,-377,0.15471060049529992
254,-346,0.15474548206063962
979,379,0.15702848648244808
316,-284,0.1581794074374784
427,-173,0.15951483947287545
920,320,0.1597726534290076
425,-175,0.16076900553485257
428,-172,0.1617574141635145
922,322,0.1618661548434191
379,-221,0.16256304663507778
433,-167,0.16410379020499177
429,-171,0.16578497302944004
251,-349,0.16597702476432488
867,267,0.1677516743600103
602,2,0.16860178916122043
981,381,0.17095806276669495
315,-285,0.17341602730600084
604,4,0.17417633935503438
308,-292,0.17499251834034127
430,-170,0.17504387177872624
980,380,0.1750849544724782
426,-174,0.17595713171465927
366,-234,0.1787095658533888
1021,421,0.17998493563615703
598,-2,0.1810385034249643
182,-418,0.18154837130582605
221,-379,0.18188921599891622
178,-422,0.18640337655093528
432,-168,0.18914437051822064
367,-233,0.1896030464739006
224,-376,0.1911744049092348
982,382,0.19425770418679048
186,-414,0.19502990415937635
1047,447,0.19514209982464964
1035,435,0.19603688391912208
250,-350,0.20179110638118491
227,-373,0.20368584252566813
368,-232,0.2037463642938019
252,-348,0.20708871767158207
431,-169,0.21234997473750672
1016,416,0.21310860063948056
228,-372,0.21879721931824417
599,-1,0.2198386212746523
220,-380,0.2199051398548154
225,-375,0.22363183764712696
984,384,0.22585988215061104
369,-231,0.22595234087568525
1017,417,0.2272265099067505
195,-405,0.22830411358245348
154,-446,0.23397737781570815
226,-374,0.23562314907098955
253,-347,0.23562549144010353
1015,415,0.2361392834449997
378,-222,0.23860361647427814
248,-352,0.23885006244407017
309,-291,0.24167435960019584
370,-230,0.2443593526819674
985,385,0.24545257802867684
601,1,0.2460649911258345
1018,418,0.24644377705096635
159,-441,0.25388398103401366
983,383,0.25514085886241866
1044,444,0.25614322200885714
600,0,0.2584975500288241
194,-406,0.2601020058038321
314,-286,0.2698542219266683
216,-384,0.2700922238105388
1019,419,0.2738438542296413
371,-229,0.28348157973469995
1042,442,0.29393138274276986
187,-413,0.2963683452320065
377,-223,0.29829488786648
158,-442,0.2985849158356373
219,-381,0.303450273312312
372,-228,0.30778967319193
313,-287,0.31059090158162767
311,-289,0.312015125766948
375,-225,0.31253741508292315
310,-290,0.31952412602974156
217,-383,0.3223897635414145
376,-224,0.32283248508502166
374,-226,0.32403271687959373
312,-288,0.33154598922509326
373,-227,0.331653995049222
188,-412,0.3331165708212735
1020,420,0.333386102024505
164,-436,0.3342461986351181
218,-382,0.33478394622579716
184,-416,0.3350143663716989
1043,443,0.33684297382931594
185,-415,0.34725753067691045
192,-408,0.3518769921042768
190,-410,0.3548408722247403
183,-417,0.35739531379288075
189,-411,0.3758951367554311
152,-448,0.3976988159890853
191,-409,0.41324648316688
157,-443,0.41866287416021525
193,-407,0.42984483536345347
151,-449,0.44298650704246095
155,-445,0.4854961725140721
153,-447,0.7635340597103167
1052,452,0.9999999999999998
148,-452,0.9999999999999999
0,-600,
1,-599,
2,-598,
3,-597,
4,-596,
5,-595,
6,-594,
7,-593,
8,-592,
9,-591,
10,-590,
11,-589,
12,-588,
13,-587,
14,-586,
15,-585,
16,-584,
17,-583,
18,-582,
19,-581,
20,-580,
21,-579,
22,-578,
23,-577,
24,-576,
25,-575,
26,-574,
27,-573,
28,-572,
29,-571,
30,-570,
31,-569,
32,-568,
33,-567,
34,-566,
35,-565,
36,-564,
37,-563,
38,-562,
39,-561,
40,-560,
41,-559,
42,-558,
43,-557,
44,-556,
45,-555,
46,-554,
47,-553,
48,-552,
49,-551,
50,-550,
51,-549,
52,-548,
53,-547,
54,-546,
55,-545,
56,-544,
57,-543,
58,-542,
59,-541,
60,-540,
61,-539,
62,-538,
63,-537,
64,-536,
65,-535,
66,-534,
67,-533,
68,-532,
69,-531,
70,-530,
71,-529,
72,-528,
73,-527,
74,-526,
75,-525,
76,-524,
77,-523,
78,-522,
79,-521,
80,-520,
81,-519,
82,-518,
83,-517,
84,-516,
85,-515,
86,-514,
87,-513,
88,-512,
89,-511,
90,-510,
91,-509,
92,-508,
93,-507,
94,-506,
95,-505,
96,-504,
97,-503,
98,-502,
99,-501,
100,-500,
101,-499,
102,-498,
103,-497,
104,-496,
105,-495,
106,-494,
107,-493,
108,-492,
109,-491,
110,-490,
111,-489,
112,-488,
113,-487,
114,-486,
115,-485,
116,-484,
117,-483,
118,-482,
119,-481,
120,-480,
121,-479,
122,-478,
123,-477,
124,-476,
125,-475,
126,-474,
127,-473,
128,-472,
129,-471,
130,-470,
131,-469,
132,-468,
133,-467,
134,-466,
135,-465,
136,-464,
137,-463,
138,-462,
139,-461,
140,-460,
141,-459,
142,-458,
143,-457,
144,-456,
145,-455,
146,-454,
147,-453,
1053,453,
1054,454,
1055,455,
1056,456,
1057,457,
1058,458,
1059,459,
1060,460,
1061,461,
1062,462,
1063,463,
1064,464,
1065,465,
1066,466,
1067,467,
1068,468,
1069,469,
1070,470,
1071,471,
1072,472,
1073,473,
1074,474,
1075,475,
1076,476,
1077,477,
1078,478,
1079,479,
